zoneid,year,ward_code,total_pop,chinese_ethnic_count,chinese_ethnic_pct,asia_born_count,asia_born_pct,asia_born_pct_is_proxy,pop_16_74,econ_active_rate,unemployment_rate,self_employment_rate,total_hh_spaces,owner_occ_rate,council_rent_rate,private_rent_rate,overcrowd_rate,overcrowd_severe_rate,no_bath_wc_rate,no_car_rate
00BNFZ0011,2001,00BNFZ,441,11,2.49,33,7.48,True,411,46.96,5.11,0.73,122,14.75,10.66,63.11,2.52,2.52,6.5,53.23
00BNFZ0012,2001,00BNFZ,527,8,1.52,77,14.61,True,435,40.46,4.83,2.53,164,29.88,18.29,41.46,8.82,3.53,10.56,46.06
00BNFZ0013,2001,00BNFZ,250,0,0.0,31,12.4,True,163,36.2,3.68,4.91,119,18.49,36.13,26.05,4.8,2.4,21.05,62.2
00BNFZ0014,2001,00BNFZ,350,0,0.0,56,16.0,True,241,44.81,5.39,2.9,125,26.4,8.8,35.2,4.72,2.36,16.18,63.71
00BNFZ0015,2001,00BNFZ,334,0,0.0,78,23.35,True,244,37.7,3.69,3.69,137,18.25,17.52,12.41,8.96,2.24,13.43,68.22
00BNFZ0016,2001,00BNFZ,347,0,0.0,35,10.09,True,257,54.86,9.73,2.33,129,33.33,4.65,34.11,7.87,2.36,11.11,46.83
00BNFZ0017,2001,00BNFZ,190,0,0.0,18,9.47,True,170,42.94,10.0,3.53,121,6.61,28.1,32.23,0.0,0.0,16.41,77.27
00BNFZ0018,2001,00BNFZ,340,10,2.94,61,17.94,True,214,48.13,6.07,5.61,125,46.4,7.2,18.4,6.92,2.31,8.76,53.08
00BNFZ0019,2001,00BNFZ,321,6,1.87,39,12.15,True,210,51.9,7.14,2.86,111,32.43,32.43,24.32,7.96,0.0,16.07,54.39
00BNFZ0020,2001,00BNFZ,341,11,3.23,79,23.17,True,249,53.82,8.03,4.02,120,15.83,3.33,41.67,9.6,4.8,12.1,43.97
00BNFZ0021,2001,00BNFZ,346,0,0.0,85,24.57,True,233,51.5,8.15,4.72,132,32.58,21.21,23.48,13.74,6.87,23.85,54.55
00BNFZ0022,2001,00BNFZ,347,11,3.17,67,19.31,True,318,33.96,1.89,4.09,105,49.52,5.71,34.29,5.71,2.86,15.62,45.79
00BNFZ0023,2001,00BNFZ,250,6,2.4,48,19.2,True,162,43.83,5.56,4.32,104,24.04,17.31,34.62,11.21,8.41,35.51,66.96
00BNFZ0024,2001,00BNFZ,278,0,0.0,50,17.99,True,196,56.12,7.14,6.63,103,43.69,9.71,33.98,10.91,5.45,33.33,63.11
00BNFZ0025,2001,00BNFZ,347,3,0.86,118,34.01,True,201,43.78,6.47,0.0,129,41.09,7.75,31.01,13.49,3.17,30.6,57.94
